date,actual,predicted
2023-01-01 00:00:00,6.0,6.0
2022-12-26 00:00:00,8.0,6.6
2022-12-25 00:00:00,4.0,7.25
2022-12-24 00:00:00,5.0,6.25
2022-12-22 00:00:00,10.0,5.0
2022-12-20 00:00:00,7.0,3.75
2022-12-19 00:00:00,7.0,2.5
2022-12-17 00:00:00,1.0,3.0
2022-12-14 00:00:00,6.0,2.6666666666666665
2022-12-13 00:00:00,1.0,3.5
2022-12-12 00:00:00,2.0,5.0
2022-12-07 00:00:00,5.0,3.4
2022-12-05 00:00:00,5.0,3.8
2022-12-04 00:00:00,6.0,3.6
2022-12-03 00:00:00,1.0,3.8
2022-12-01 00:00:00,1.0,4.5
2022-11-30 00:00:00,4.0,4.666666666666667
2022-11-28 00:00:00,7.0,4.0
2022-11-27 00:00:00,5.0,2.6666666666666665
2022-11-26 00:00:00,2.0,2.3333333333333335
2022-11-22 00:00:00,5.0,2.0
2022-11-20 00:00:00,1.0,5.5
2022-11-19 00:00:00,1.0,6.75
2022-11-17 00:00:00,4.0,7.0
2022-11-14 00:00:00,8.0,5.2
2022-11-13 00:00:00,9.0,4.25
2022-11-12 00:00:00,6.0,3.0
2022-11-10 00:00:00,5.0,2.0
2022-11-09 00:00:00,1.0,2.0
2022-11-07 00:00:00,5.0,2.0
2022-11-05 00:00:00,1.0,2.3333333333333335
2022-11-03 00:00:00,1.0,2.6666666666666665
2022-11-02 00:00:00,1.0,4.666666666666667
2022-11-01 00:00:00,5.0,5.0
2022-10-27 00:00:00,2.0,3.6666666666666665
2022-10-26 00:00:00,7.0,3.0
2022-10-25 00:00:00,6.0,2.25
2022-10-23 00:00:00,2.0,3.25
2022-10-22 00:00:00,5.0,2.6666666666666665
2022-10-21 00:00:00,1.0,3.5
2022-10-20 00:00:00,1.0,6.0
2022-10-17 00:00:00,6.0,8.5
2022-10-11 00:00:00,5.0,7.0
2022-10-10 00:00:00,12.0,6.0
2022-10-09 00:00:00,5.0,5.2
2022-10-08 00:00:00,10.0,4.2
2022-10-07 00:00:00,5.0,3.8
2022-10-05 00:00:00,1.0,4.2
2022-10-04 00:00:00,9.0,3.0
2022-10-02 00:00:00,1.0,4.25
2022-10-01 00:00:00,5.0,5.5
2022-09-30 00:00:00,3.0,6.0
2022-09-29 00:00:00,3.0,6.5
2022-09-25 00:00:00,6.0,4.8
2022-09-24 00:00:00,10.0,3.5
2022-09-23 00:00:00,5.0,3.0
2022-09-22 00:00:00,5.0,2.3333333333333335
2022-09-20 00:00:00,1.0,3.6666666666666665
2022-09-18 00:00:00,3.0,3.6666666666666665
2022-09-15 00:00:00,3.0,5.5
2022-09-14 00:00:00,5.0,5.5
2022-09-11 00:00:00,3.0,6.166666666666667
2022-09-10 00:00:00,5.0,6.4
2022-09-08 00:00:00,9.0,5.6
2022-09-07 00:00:00,5.0,5.2
2022-09-06 00:00:00,7.0,4.75
2022-09-05 00:00:00,9.0,3.75
2022-09-04 00:00:00,2.0,3.5
2022-09-01 00:00:00,5.0,3.5
2022-08-31 00:00:00,3.0,3.25
2022-08-29 00:00:00,5.0,4.2
2022-08-28 00:00:00,1.0,5.0
2022-08-27 00:00:00,5.0,4.6
2022-08-24 00:00:00,2.0,5.0
2022-08-23 00:00:00,6.0,4.833333333333333
2022-08-22 00:00:00,7.0,4.833333333333333
2022-08-21 00:00:00,5.0,5.166666666666667
2022-08-20 00:00:00,3.0,5.6
2022-08-19 00:00:00,3.0,5.8
2022-08-18 00:00:00,5.0,6.2
2022-08-17 00:00:00,6.0,6.0
2022-08-15 00:00:00,7.0,6.2
2022-08-14 00:00:00,7.0,6.2
2022-08-12 00:00:00,4.0,6.4
2022-08-11 00:00:00,7.0,6.25
2022-08-10 00:00:00,5.0,6.666666666666667
2022-08-08 00:00:00,8.0,6.5
2022-08-07 00:00:00,7.0,6.0
2022-08-05 00:00:00,5.0,5.0
2022-08-02 00:00:00,9.0,2.6
2022-08-01 00:00:00,5.0,1.8
2022-07-31 00:00:00,5.0,1.0
2022-07-30 00:00:00,1.0,1.0
2022-07-28 00:00:00,1.0,2.0
2022-07-27 00:00:00,1.0,2.3333333333333335
2022-07-25 00:00:00,1.0,2.3333333333333335
